customer_unique_id,customer_type,language,customer_category,date_of_birth,minor,sex,marital_status
80841002,I,ENG,IND,1982-02-20 00:00:00,N,M,S
94831002,I,ENG,IND,1984-08-15 00:00:00,N,M,M
94851002,I,ENG,IND,1982-12-01 00:00:00,N,M,S
97801002,I,ENG,IND,1974-12-25 00:00:00,N,M,M
98801002,I,ENG,IND,1976-10-10 00:00:00,N,M,M
5881003,I,ENG,IND,1984-04-10 00:00:00,N,M,M
16861003,I,ENG,IND,1962-11-12 00:00:00,N,M,M
21811003,I,ENG,IND,1980-09-15 00:00:00,N,M,M
62891003,I,ENG,IND,1977-03-12 00:00:00,N,F,S
63811003,I,ENG,IND,1966-12-28 00:00:00,N,F,S
22841005,I,ENG,IND,1974-02-16 00:00:00,N,F,M
15861006,I,ENG,IND,1979-06-12 00:00:00,N,M,S
19821006,I,ENG,IND,1972-06-17 00:00:00,N,M,M
36841007,I,ENG,IND,1978-08-03 00:00:00,N,F,S
4821008,I,ENG,IND,1969-01-09 00:00:00,N,M,M
31861008,I,ENG,IND,1981-04-22 00:00:00,N,F,S
41841008,I,ENG,IND,1980-06-30 00:00:00,N,M,S
59811009,I,ENG,IND,1972-12-22 00:00:00,N,M,M
7931000,I,ENG,IND,1966-03-15 00:00:00,N,M,M
8991001,I,ENG,IND,1981-04-11 00:00:00,N,F,S
53971001,I,ENG,IND,1984-07-07 00:00:00,N,M,S
55981001,I,ENG,IND,1954-10-03 00:00:00,N,M,M
68931001,I,ENG,IND,1980-05-05 00:00:00,N,M,S
75951002,I,ENG,IND,1974-09-11 00:00:00,N,M,S
53951003,I,ENG,IND,1957-04-04 00:00:00,N,M,M
4921004,I,ENG,IND,1981-05-25 00:00:00,N,M,S
18971004,I,ENG,IND,1972-10-05 00:00:00,N,M,S
29941004,I,ENG,IND,1978-03-15 00:00:00,N,M,M
34911004,I,ENG,IND,1970-11-12 00:00:00,N,M,S
7971005,I,ENG,IND,1986-10-05 00:00:00,N,M,S
52921005,I,ENG,IND,1964-07-15 00:00:00,N,M,M
52981005,I,ENG,IND,1964-06-16 00:00:00,N,M,S
56921005,I,ENG,IND,1958-08-15 00:00:00,N,M,M
64941005,I,ENG,IND,1949-10-25 00:00:00,N,M,M
71951005,I,ENG,IND,1981-11-01 00:00:00,N,M,S
3971006,I,ENG,IND,1972-08-30 00:00:00,N,M,M
6991006,I,ENG,IND,1956-02-05 00:00:00,N,M,M
8921006,I,ENG,IND,1963-02-16 00:00:00,N,M,M
41981006,I,ENG,IND,1973-03-25 00:00:00,N,M,M
3981007,I,ENG,IND,1975-06-30 00:00:00,N,M,S
9941007,I,ENG,IND,1980-12-05 00:00:00,N,M,S
10921007,I,ENG,IND,1965-06-06 00:00:00,N,M,M
70921007,I,ENG,IND,1981-10-25 00:00:00,N,M,M
35911008,I,ENG,IND,1970-03-14 00:00:00,N,M,M
8911009,I,ENG,IND,1973-06-18 00:00:00,N,M,M
11961009,I,ENG,IND,1970-05-15 00:00:00,N,M,M
15951009,I,ENG,IND,1981-05-25 00:00:00,N,M,S
21941009,I,ENG,IND,1974-08-06 00:00:00,N,M,M
34951009,I,ENG,IND,1974-04-29 00:00:00,N,M,S
38971009,I,ENG,IND,1969-12-25 00:00:00,N,M,M
41931009,I,ENG,IND,1981-04-01 00:00:00,N,M,S
44981009,I,ENG,IND,1968-05-01 00:00:00,N,M,M
55931009,I,ENG,IND,1972-03-03 00:00:00,N,M,M
63901009,I,ENG,IND,1970-01-20 00:00:00,N,M,M
65961009,I,ENG,IND,1964-07-17 00:00:00,N,M,M
71921009,I,ENG,IND,1968-12-20 00:00:00,N,M,M
76971009,I,ENG,IND,1970-11-18 00:00:00,N,M,M
78951009,I,ENG,IND,1980-10-03 00:00:00,N,M,S
85991009,I,ENG,IND,1961-04-13 00:00:00,N,M,M
86981009,I,ENG,IND,1964-09-09 00:00:00,N,M,M
92981009,I,ENG,IND,1967-10-06 00:00:00,N,M,M
94901009,I,ENG,IND,1969-10-10 00:00:00,N,M,M
95931009,I,ENG,IND,1975-10-28 00:00:00,N,M,M
95981009,I,ENG,IND,1967-04-13 00:00:00,N,M,M
97981009,I,ENG,IND,1970-11-18 00:00:00,N,M,S
98951009,I,ENG,IND,1975-10-10 00:00:00,N,M,M
3032000,I,ENG,IND,1964-05-07 00:00:00,N,M,M
3052000,I,ENG,IND,1973-10-14 00:00:00,N,M,M
3072000,I,ENG,IND,2000-01-01 00:00:00,Y,M,M
22002000,I,ENG,IND,1973-10-16 00:00:00,N,M,S
25092000,I,ENG,IND,1975-02-15 00:00:00,N,M,M
30032000,I,ENG,IND,1974-09-05 00:00:00,N,F,M
76062002,I,ENG,IND,1979-10-16 00:00:00,N,M,S
3002003,I,ENG,IND,1957-11-06 00:00:00,N,M,M
3082003,I,ENG,IND,1982-05-05 00:00:00,N,F,M
60072004,I,ENG,IND,1967-10-13 00:00:00,N,M,M
74072004,I,ENG,IND,1961-02-28 00:00:00,N,F,M
84062004,I,ENG,IND,1978-11-27 00:00:00,N,M,S
96092004,I,ENG,IND,1975-03-07 00:00:00,N,M,S
62005,I,ENG,IND,1962-04-07 00:00:00,N,M,M
8022005,I,ENG,IND,1974-10-13 00:00:00,N,M,M
32022005,I,ENG,IND,1979-03-02 00:00:00,N,M,S
38002005,I,ENG,IND,1968-06-06 00:00:00,N,F,M
60022005,I,ENG,IND,1974-05-19 00:00:00,N,M,M
97052005,I,ENG,RSA,1979-12-08 00:00:00,N,M,S
98002005,I,ENG,IND,1983-07-16 00:00:00,N,M,S
11032007,I,ENG,IND,1960-08-04 00:00:00,N,M,M
18002007,I,ENG,IND,1971-03-03 00:00:00,N,M,M
36062007,I,ENG,IND,1966-02-17 00:00:00,N,M,M
40032008,I,ENG,IND,1984-08-12 00:00:00,N,M,S
50062009,I,ENG,IND,1971-11-27 00:00:00,N,M,M
61032009,I,ENG,IND,1978-01-09 00:00:00,N,M,S
63032009,I,ENG,IND,1983-01-16 00:00:00,N,F,M
68042009,I,ENG,IND,1962-12-19 00:00:00,N,M,M
98152002,I,ENG,IND,1974-12-17 00:00:00,N,M,S
40132004,I,ENG,IND,1968-06-11 00:00:00,N,M,M
78132004,I,ENG,IND,1948-01-12 00:00:00,N,M,M
11192008,I,ENG,IND,1968-07-29 00:00:00,N,M,M
89112009,I,ENG,RSA,1977-04-06 00:00:00,N,F,M
10222000,I,ENG,IND,1982-02-15 00:00:00,N,M,M
47222000,I,ENG,IND,1968-06-30 00:00:00,N,F,M
52272000,I,ENG,IND,1979-12-17 00:00:00,N,M,S
86292000,I,ENG,IND,1985-01-13 00:00:00,N,M,S
24272001,I,ENG,IND,1982-01-29 00:00:00,N,M,S
53242001,I,ENG,IND,1958-01-17 00:00:00,N,F,M
29232002,I,ENG,IND,1985-04-23 00:00:00,N,F,M
67202002,I,ENG,IND,1978-12-12 00:00:00,N,F,S
79222003,I,ENG,IND,1981-05-12 00:00:00,N,M,S
25272004,I,ENG,IND,1956-02-26 00:00:00,N,M,M
78282004,I,ENG,IND,1975-11-23 00:00:00,N,M,M
78292004,I,ENG,IND,1980-12-07 00:00:00,N,M,M
84262006,I,ENG,IND,1978-03-27 00:00:00,N,F,M
20252007,I,ENG,IND,1973-01-22 00:00:00,N,M,M
96282007,I,ENG,RSA,1980-05-02 00:00:00,N,F,M
2272008,I,ENG,IND,1977-05-29 00:00:00,N,M,M
36282008,I,ENG,IND,1985-03-13 00:00:00,N,M,S
88202008,I,ENG,IND,1984-05-08 00:00:00,N,M,S
1352000,I,ENG,IND,1979-01-01 00:00:00,N,M,S
29312001,I,ENG,IND,1970-03-31 00:00:00,N,M,M
94312001,I,ENG,IND,1976-08-10 00:00:00,N,M,S
80302002,I,ENG,IND,1970-06-15 00:00:00,N,M,M
33302003,I,ENG,IND,1976-11-28 00:00:00,N,F,M
93342003,I,ENG,IND,1981-06-24 00:00:00,N,M,S
7312004,I,ENG,IND,1972-09-20 00:00:00,N,M,M
55382004,I,ENG,IND,1971-11-30 00:00:00,N,M,M
74372005,I,ENG,IND,1982-12-13 00:00:00,N,M,S
12332006,I,ENG,IND,1978-10-07 00:00:00,N,M,M
89402000,I,ENG,IND,1974-04-25 00:00:00,N,M,M
90472001,I,ENG,IND,1980-02-12 00:00:00,N,M,S
30402007,I,ENG,IND,1979-02-22 00:00:00,N,F,M
70402008,I,ENG,IND,1981-01-15 00:00:00,N,M,S
76552004,I,ENG,IND,1981-04-05 00:00:00,N,M,S
31582005,I,ENG,IND,1985-10-16 00:00:00,N,M,S
2502006,I,ENG,IND,1984-09-30 00:00:00,N,M,S
98512006,I,ENG,IND,1983-11-29 00:00:00,N,M,S
44592007,I,ENG,IND,1986-12-24 00:00:00,N,M,S
4522009,I,ENG,IND,1981-05-18 00:00:00,N,M,S
58612000,I,ENG,IND,1982-12-25 00:00:00,N,F,M
88602001,I,ENG,IND,1976-05-26 00:00:00,N,M,S
11672002,I,ENG,IND,1977-05-27 00:00:00,N,M,M
17612002,I,ENG,IND,1983-07-02 00:00:00,N,F,M
55672002,I,ENG,IND,1977-02-26 00:00:00,N,M,M
67652003,I,ENG,IND,1973-05-14 00:00:00,N,M,M
51632004,I,ENG,IND,1962-10-06 00:00:00,N,F,M
48692006,I,ENG,IND,1976-04-19 00:00:00,N,M,M
50692006,I,ENG,IND,1978-09-24 00:00:00,N,M,M
31612007,I,ENG,IND,1968-02-25 00:00:00,N,M,M
